# timestamp tx ty tz qx qy qz qw
1746274296.973436 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.034621 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.087155 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.140105 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.202923 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.294494 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.347706 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.398664 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.456096 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.509127 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.562166 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.615239 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.669564 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.724426 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.773996 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.825514 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.883421 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.937228 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274297.990372 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.078368 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.131258 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.185174 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.238803 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.292600 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.346051 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.398204 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.450021 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.499973 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.586629 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.638379 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.690558 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.740845 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.793325 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.842857 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.890525 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.946205 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274298.996882 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.046491 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.094858 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.147740 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.198699 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.293849 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.342260 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.391312 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.440684 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.489968 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.543761 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.598883 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.651695 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.707226 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.757423 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.808849 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.859991 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.908333 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274299.959491 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.012918 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.066110 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.117693 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.166981 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.218788 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.271310 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.326511 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.382570 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.433030 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.484662 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.535071 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.594946 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.646838 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.696693 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.745810 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.795715 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.847116 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.899328 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.947820 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274300.998609 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.048047 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.098598 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.149523 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.200807 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.252529 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.302485 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.351324 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.401284 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
1746274301.450196 0.0 0.0 -0.14649587869644165 0.0 0.0 0.0 1.0
